dataset,speaker_id,l1,gender,utterance_id,textgrid_path,tier_name,start_time,end_time,label,normalized_label,possible_error_type
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,0.000000,0.230000,for,for,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,0.230000,0.410000,the,the,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,0.410000,1.060000,twentieth,twentieth,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,1.060000,1.750000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,1.750000,2.210000,time,time,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,2.210000,2.270000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,2.270000,2.620000,that,that,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,2.620000,3.250000,evening,evening,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,3.250000,3.280000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,3.280000,3.470000,the,the,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,3.470000,3.680000,two,two,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,3.680000,4.070000,men,men,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,4.070000,4.640000,shook,shook,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,4.640000,4.820000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,4.820000,5.250000,hands,hands,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,words,5.250000,5.300000,,,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.000000,0.100000,F,F,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.100000,0.180000,AO1,AO1,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.180000,0.230000,"R,sil,d ","R,sil,d",deletion
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.230000,0.290000,"DH,D,s ","DH,D,s",substitution
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.290000,0.410000,AH0,AH0,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.410000,0.510000,T,T,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.510000,0.560000,W,W,unknown
l2_arctic,HQTV,Vietnamese,M,arctic_a0003,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/annotation/arctic_a0003.TextGrid,phones,0.560000,0.680000,EH1,EH1,unknown
