speaker_id,l1,split,rows
ABA,Arabic,test,10
ABA,Arabic,train,65
ABA,Arabic,val,3
SKA,Arabic,train,98
SKA,Arabic,val,18
YBAA,Arabic,test,3
YBAA,Arabic,train,23
YBAA,Arabic,val,4
ZHAA,Arabic,test,5
ZHAA,Arabic,train,44
ZHAA,Arabic,val,1
BWC,Chinese,test,1
BWC,Chinese,train,37
BWC,Chinese,val,6
LXC,Chinese,test,9
LXC,Chinese,train,45
LXC,Chinese,val,4
NCC,Chinese,test,3
NCC,Chinese,train,27
NCC,Chinese,val,1
TXHC,Chinese,test,3
TXHC,Chinese,train,68
TXHC,Chinese,val,2
ASI,Hindi,train,23
ASI,Hindi,val,3
RRBI,Hindi,train,47
SVBI,Hindi,train,27
SVBI,Hindi,val,1
TNI,Hindi,train,8
HJK,Korean,train,7
HKK,Korean,test,1
HKK,Korean,train,41
HKK,Korean,val,2
YDCK,Korean,train,24
YKWK,Korean,train,29
YKWK,Korean,val,1
EBVS,Spanish,train,88
EBVS,Spanish,val,5
ERMS,Spanish,test,1
ERMS,Spanish,train,42
MBMPS,Spanish,test,2
MBMPS,Spanish,train,24
NJS,Spanish,test,1
NJS,Spanish,train,37
HQTV,Vietnamese,test,5
HQTV,Vietnamese,train,56
HQTV,Vietnamese,val,11
PNV,Vietnamese,test,1
PNV,Vietnamese,train,12
PNV,Vietnamese,val,3
THV,Vietnamese,test,5
THV,Vietnamese,train,53
THV,Vietnamese,val,9
TLV,Vietnamese,test,8
TLV,Vietnamese,train,28
TLV,Vietnamese,val,7
