context_mode,held_out_speaker,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,0.18,0.23,"R,sil,d ",deletion,substitution,0.4071842432022095,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,0.23,0.29,"DH,D,s ",substitution,deletion,0.35836803913116455,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,1.01,1.06,"TH,T,s",substitution,deletion,0.4379138648509979,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,5.14,5.25,"Z,S,s ",substitution,addition,0.44313108921051025,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,0.23,0.26,"D,D*,s",substitution,deletion,0.5576344728469849,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,2.22,2.26,"AA1,AH0,s",substitution,deletion,0.46134212613105774,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0007,0.49,0.64,"L,N,s",substitution,deletion,0.3884516954421997,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,And you always want to see it in the superlative degree
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,0.43,0.54,"D,T,s ",substitution,deletion,0.39610591530799866,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,1.61,1.71,"ER0,AH0,s ",substitution,deletion,0.3621087670326233,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,2.41,2.47,"T,sil,d ",deletion,substitution,0.4921833574771881,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0010,1.02,1.06,"L,sil,d ",deletion,addition,0.367281973361969,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,I'm playing a single hand in what looks like a losing game
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.59,0.65,"ER0,AH0,s ",substitution,addition,0.5336523056030273,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.92,0.99,"IH0,IY0,s",substitution,addition,0.4922180771827698,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0013,4.19,4.27,"V,P,s",substitution,deletion,0.5784451961517334,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0013,4.81,4.87,"L,sil,d ",deletion,substitution,0.5570614337921143,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0013,5.19,5.28,"S,Z,s ",substitution,addition,0.3696155846118927,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0013,6.12,6.2,"AH0,IY0,s",substitution,addition,0.4156559109687805,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
