speaker_id,utterance_id,audio_path,start_time,end_time,true_error_type,predicted_error_type,confidence,is_correct,prob_addition,prob_deletion,prob_substitution
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.85,0.99,deletion,substitution,0.7229136228561401,False,0.22249144315719604,0.05459492653608322,0.7229136228561401
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.342825,1.565515,addition,substitution,0.7183975577354431,False,0.23311713337898254,0.04848532751202583,0.7183975577354431
PNV,arctic_b0488,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0488.wav,2.96,3.03,deletion,substitution,0.70261150598526,False,0.27742376923561096,0.01996469870209694,0.70261150598526
HQTV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0527.wav,3.68,3.86,addition,substitution,0.6968715786933899,False,0.2667389214038849,0.036389485001564026,0.6968715786933899
HQTV,arctic_b0534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0534.wav,1.87,1.93,deletion,substitution,0.6852004528045654,False,0.2610424757003784,0.05375705286860466,0.6852004528045654
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,1.47748,1.667227,addition,substitution,0.6824901103973389,False,0.30659279227256775,0.010917075909674168,0.6824901103973389
TLV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0509.wav,0.52,0.66,deletion,substitution,0.6799318194389343,False,0.23568841814994812,0.08437978476285934,0.6799318194389343
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.04,2.204873,addition,substitution,0.6758736371994019,False,0.2868202030658722,0.03730621933937073,0.6758736371994019
HQTV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0481.wav,0.574935,0.68,addition,substitution,0.6522701382637024,False,0.2901952862739563,0.05753457546234131,0.6522701382637024
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,2.645646,2.67,addition,deletion,0.6499326825141907,False,0.19057491421699524,0.6499326825141907,0.1594923883676529
HQTV,arctic_b0469,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0469.wav,0.77,0.85,deletion,substitution,0.6486073732376099,False,0.30170953273773193,0.04968307167291641,0.6486073732376099
