held_out_speaker,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
HQTV,test,HQTV,Vietnamese,arctic_a0003,1.01,1.06,"TH,T,s",substitution,deletion,0.5440228581428528,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0005,0.29,0.36,"L,sil,d ",deletion,substitution,0.4321593642234802,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,Will we ever forget it
HQTV,test,HQTV,Vietnamese,arctic_a0006,0.23,0.26,"D,D*,s",substitution,deletion,0.606124222278595,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
HQTV,test,HQTV,Vietnamese,arctic_a0006,2.22,2.26,"AA1,AH0,s",substitution,deletion,0.4403701424598694,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
HQTV,test,HQTV,Vietnamese,arctic_a0006,2.98,3.03,"DH,D,s ",substitution,addition,0.44276145100593567,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
HQTV,test,HQTV,Vietnamese,arctic_a0007,0.44,0.49,"AO1,OW1,s",substitution,addition,0.416652113199234,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,And you always want to see it in the superlative degree
HQTV,test,HQTV,Vietnamese,arctic_a0008,2.41,2.47,"T,sil,d ",deletion,substitution,0.630561351776123,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
HQTV,test,HQTV,Vietnamese,arctic_a0011,0.19,0.24,"F,B,s",substitution,addition,0.4162845313549042,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
HQTV,test,HQTV,Vietnamese,arctic_a0011,0.59,0.65,"ER0,AH0,s ",substitution,addition,0.41824817657470703,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
HQTV,test,HQTV,Vietnamese,arctic_a0011,0.92,0.99,"IH0,IY0,s",substitution,addition,0.4009203016757965,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
HQTV,test,HQTV,Vietnamese,arctic_a0013,4.19,4.27,"V,P,s",substitution,deletion,0.4900335669517517,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
HQTV,test,HQTV,Vietnamese,arctic_a0013,4.81,4.87,"L,sil,d ",deletion,addition,0.34187936782836914,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
HQTV,test,HQTV,Vietnamese,arctic_a0013,6.12,6.2,"AH0,IY0,s",substitution,addition,0.4221292734146118,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
HQTV,test,HQTV,Vietnamese,arctic_a0018,0.29,0.34,"R,sil,d ",deletion,addition,0.41863778233528137,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0018.wav,There was a change now
HQTV,test,HQTV,Vietnamese,arctic_a0018,0.34,0.4,"sil,Z,a",addition,deletion,0.43376874923706055,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0018.wav,There was a change now
HQTV,test,HQTV,Vietnamese,arctic_a0019,0.65,0.68,"DH,D,s ",substitution,deletion,0.5300210118293762,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances
HQTV,test,HQTV,Vietnamese,arctic_a0019,0.99,1.04,"AH1,AA*,s",substitution,addition,0.38605785369873047,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances
HQTV,test,HQTV,Vietnamese,arctic_a0019,1.04,1.11,"V,P,s",substitution,deletion,0.5309821963310242,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0019.wav,I followed the line of the proposed railroad looking for chances
