dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text,duration,audio_exists
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0106.wav,arctic_b0106,4.43,4.46,"Z,sil,d",deletion,For a full minute the two men stared into each other's face,0.03000000000000025,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0130.wav,arctic_a0130,0.48,0.51,"Z,sil,d",deletion,She was his now forever,0.030000000000000027,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0375.wav,arctic_a0375,4.29,4.35,"d,sil,d",deletion,The butchers and meat cutters refused to handle meat destined for unfair restaurants,0.05999999999999961,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,arctic_b0323,0.55,0.59,"S,sil,d",deletion,Crickets began to chirp and more geese and ducks flew overhead,0.039999999999999925,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0121.wav,arctic_a0121,3.4,3.46,"R,sil,d",deletion,They ate dinner at the fifth and rested for two hours,0.06000000000000005,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,arctic_b0342,2.69,2.72,"R,sil,d",deletion,Each improvement makes the value of everything else pump up,0.03000000000000025,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0251.wav,arctic_b0251,0.38,0.41,"t,sil,d",deletion,They must have been swept away by the chaotic currents,0.02999999999999997,True
l2_arctic,PNV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0380.wav,arctic_b0380,2.44,2.53,"d,sil,d",deletion,He had peeled off his shirt and was wildly waving it,0.08999999999999986,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0375.wav,arctic_a0375,2.74,2.77,"l,sil,d",deletion,The butchers and meat cutters refused to handle meat destined for unfair restaurants,0.029999999999999805,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0005.wav,arctic_a0005,0.84,0.91,"R,sil,d",deletion,Will we ever forget it,0.07000000000000006,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0024.wav,arctic_a0024,1.8,1.89,"ɹ,sil,d ",deletion,It was my reports from the north which chiefly induced people to buy,0.08999999999999986,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_a0120.wav,arctic_a0120,3.21,3.24,"Y,sil,d",deletion,My right foot feels like that of a Chinese debutante,0.03000000000000025,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0047.wav,arctic_a0047,1.0,1.03,"D,sil,d ",deletion,Close beside him gleamed the white fangs of the wolf dog,0.030000000000000027,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0010.wav,arctic_a0010,1.4,1.49,"D,sil,d ",deletion,I'm playing a single hand in what looks like a losing game,0.09000000000000008,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0165.wav,arctic_b0165,1.62,1.66,"g,sil,d",deletion,He pulled and the log crashed down to break his back,0.039999999999999813,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0079.wav,arctic_a0079,0.42,0.45,"z,sil,d",deletion,It was a large canoe,0.030000000000000027,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0074.wav,arctic_b0074,1.12,1.15,"N,sil,d",deletion,Yet behind them there was another and more powerful motive,0.029999999999999805,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0127.wav,arctic_a0127,1.58,1.76,"t,sil,d",deletion,It was a temptation but he resisted it,0.17999999999999994,True
l2_arctic,TLV,Vietnamese,F,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0425.wav,arctic_b0425,0.24,0.31,"ɹ,sil,d",deletion,There were orange green gold green and a copper green,0.07,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0100.wav,arctic_a0100,0.6,0.63,"t,sil,d ",deletion,You must sleep he urged,0.030000000000000027,True
