dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text,duration,audio_exists
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0201.wav,arctic_b0201,3.798785,3.88,"sil,AH,a",addition,I also understand that similar branch organizations have made their appearance in Europe,0.08121499999999982,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0099.wav,arctic_a0099,1.398859,1.460599,"sil,S,a",addition,A maddening joy pounded in his brain,0.061739999999999906,True
l2_arctic,PNV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0342.wav,arctic_b0342,2.409549,2.48,"sil,AH,a",addition,Each improvement makes the value of everything else pump up,0.07045099999999982,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0091.wav,arctic_a0091,0.793418,0.83,"sil,w,a",addition,His blood grew hot with rage at the thought,0.036582,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0165.wav,arctic_b0165,3.531254,3.576185,"sil,D,a",addition,He pulled and the log crashed down to break his back,0.044931000000000054,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0019.wav,arctic_a0019,4.0,4.174904,"sil,CH,a",addition,I followed the line of the proposed railroad looking for chances,0.17490399999999973,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0137.wav,arctic_a0137,2.56,2.62018,"sil,D,a",addition,Then he stepped back with a low cry of pleasure,0.0601799999999999,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0082.wav,arctic_a0082,1.03385,1.06,"sil,L,a",addition,His face was streaming with blood,0.026150000000000118,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,arctic_b0342,2.59665,2.64,"sil,R,a",addition,Each improvement makes the value of everything else pump up,0.04335000000000022,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0075.wav,arctic_a0075,0.373684,0.4,"sil,Y,a",addition,There has been a change she interrupted him,0.026316000000000006,True
l2_arctic,TLV,Vietnamese,F,test,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0469.wav,arctic_b0469,1.5,1.59,"sil,d,a",addition,Very few people knew of the existence of this law,0.09000000000000008,True
l2_arctic,THV,Vietnamese,F,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0380.wav,arctic_b0380,2.93,2.98,"sil,g,a",addition,He had peeled off his shirt and was wildly waving it,0.04999999999999982,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0048.wav,arctic_b0048,0.23,0.3,"sil,s,a",addition,He looked like one who had passed through an uncomfortable hour or two,0.06999999999999998,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0131.wav,arctic_a0131,1.327517,1.42,"sil,t,a",addition,Providence had delivered him through the maelstrom,0.09248299999999987,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0051.wav,arctic_a0051,1.12,1.167888,"sil,d,a",addition,The lace was of a delicate ivory color faintly tinted with yellow,0.04788799999999993,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,arctic_b0323,5.13,5.2426,"sil,HH,a",addition,Crickets began to chirp and more geese and ducks flew overhead,0.11260000000000048,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0041.wav,arctic_a0041,2.02,2.054461,"sil,DH,a",addition,Meanwhile I'll go out to breathe a spell,0.03446099999999985,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0108.wav,arctic_a0108,2.165423,2.23,"sil,R,a",addition,He waded into the edge of the water and began scrubbing himself,0.06457699999999988,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0271.wav,arctic_a0271,0.83,0.858359,"sil,IY,a",addition,Now please give a plain statement of what occurred,0.028359000000000023,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,2.816342,2.86,"sil,AH0,a",addition,For the twentieth time that evening the two men shook hands,0.04365799999999975,True
