dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.180000,0.230000,"R,sil,d ",deletion,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.230000,0.290000,"DH,D,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.750000,0.840000,"T,D,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,1.010000,1.060000,"TH,T,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,1.890000,2.050000,"AY1,AA*,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,2.270000,2.390000,"DH,D,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,2.816342,2.860000,"sil,AH0,a",addition,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,3.280000,3.330000,"DH,D,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,4.320000,4.410000,"UH1,AO1,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,4.890000,4.990000,"AE1,EH1,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,5.080000,5.140000,"D,sil,d ",deletion,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,5.140000,5.250000,"Z,S,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.180000,0.230000,"ɹ,sil,d ",deletion,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.230000,0.290000,"ð,d,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,0.750000,0.840000,"tʰ,t,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,1.010000,1.060000,"θ,t,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,1.890000,2.050000,"aɪ,a,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,2.270000,2.390000,"ð,d,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,2.816342,2.860000,"sil,ə,a",addition,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,3.280000,3.330000,"ð,d,s ",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,4.320000,4.410000,"ʊ,ɔ,s",substitution,For the twentieth time that evening the two men shook hands
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,4.890000,4.990000,"æ,ɛ,s",substitution,For the twentieth time that evening the two men shook hands
