held_out_speaker,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
HQTV,test,HQTV,Vietnamese,arctic_a0003,0.18,0.23,"R,sil,d ",deletion,addition,0.47085803747177124,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0003,0.23,0.29,"DH,D,s ",substitution,addition,0.7028855681419373,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0003,1.01,1.06,"TH,T,s",substitution,deletion,0.4955741763114929,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0003,3.28,3.33,"DH,D,s ",substitution,addition,0.6458512544631958,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0003,4.89,4.99,"AE1,EH1,s",substitution,addition,0.5262043476104736,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0003,5.08,5.14,"D,sil,d ",deletion,addition,0.5577405691146851,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
HQTV,test,HQTV,Vietnamese,arctic_a0005,0.29,0.36,"L,sil,d ",deletion,addition,0.41267579793930054,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,Will we ever forget it
HQTV,test,HQTV,Vietnamese,arctic_a0005,0.86,0.95,"ER0,AH0,s ",substitution,addition,0.7167091965675354,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0005.wav,Will we ever forget it
HQTV,test,HQTV,Vietnamese,arctic_a0006,0.23,0.26,"D,D*,s",substitution,deletion,0.4879828095436096,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
HQTV,test,HQTV,Vietnamese,arctic_a0006,2.22,2.26,"AA1,AH0,s",substitution,addition,0.5331424474716187,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
