speaker_id,utterance_id,audio_path,start_time,end_time,source_error_type,true_binary_error_type,predicted_binary_error_type,confidence,is_correct,prob_addition,prob_non_addition
THV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0503.wav,1.342825,1.565515,addition,addition,non_addition,0.7238124012947083,False,0.27618756890296936,0.7238124012947083
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,1.310495,2.210495,addition,addition,non_addition,0.685361921787262,False,0.31463807821273804,0.685361921787262
HQTV,arctic_b0527,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0527.wav,3.68,3.86,addition,addition,non_addition,0.661931037902832,False,0.33806899189949036,0.661931037902832
TLV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0518.wav,1.47748,1.667227,addition,addition,non_addition,0.6557211875915527,False,0.3442787826061249,0.6557211875915527
PNV,arctic_b0465,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0465.wav,1.56,1.62,substitution,non_addition,addition,0.6460188627243042,False,0.6460188627243042,0.3539811670780182
PNV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0503.wav,4.07,4.14,substitution,non_addition,addition,0.6326410174369812,False,0.6326410174369812,0.3673589825630188
PNV,arctic_b0509,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_b0509.wav,2.43,2.5,substitution,non_addition,addition,0.6258703470230103,False,0.6258703470230103,0.37412965297698975
TLV,arctic_b0503,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0503.wav,2.645646,2.67,addition,addition,non_addition,0.6129732728004456,False,0.38702675700187683,0.6129732728004456
TLV,arctic_b0481,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0481.wav,2.04,2.204873,addition,addition,non_addition,0.6050434708595276,False,0.39495649933815,0.6050434708595276
HQTV,arctic_b0518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0518.wav,2.68,2.74,deletion,non_addition,addition,0.6043664813041687,False,0.6043664813041687,0.3956335484981537
