evaluation_slice,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
val,val,ABA,Arabic,arctic_b0324,3.4,3.44,"B,P,s",substitution,deletion,0.643672525882721,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0324.wav,Not till the twentieth of May did the river break
val,val,ABA,Arabic,arctic_b0340,0.22,0.3,"IY1,IH,s",substitution,addition,0.6857324838638306,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0340.wav,These quick little joys of hers were sources of joy to him
val,val,ABA,Arabic,arctic_b0340,1.01,1.04,"L,err,s",substitution,deletion,0.5354476571083069,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0340.wav,These quick little joys of hers were sources of joy to him
val,val,ABA,Arabic,arctic_b0367,1.41,1.434014,"sil,K,a",addition,deletion,0.6124070286750793,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0367.wav,Any average young fellow can teach himself in a week
val,val,ABA,Arabic,arctic_b0424,0.74,0.77,"R, R*, s",substitution,deletion,0.50086909532547,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0424.wav,It is a very tenable hypothesis and will bear looking into
val,val,ABA,Arabic,arctic_b0424,2.23,2.29,"AA1,OW,s",substitution,addition,0.5748810768127441,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0424.wav,It is a very tenable hypothesis and will bear looking into
val,val,ABA,Arabic,arctic_b0425,0.28,0.35,"R,err,s ",substitution,addition,0.4730056822299957,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,val,ABA,Arabic,arctic_b0425,2.72,2.76,"G, sil, d",deletion,addition,0.4684732258319855,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0425.wav,There were orange green gold green and a copper green
val,val,ABA,Arabic,arctic_b0428,3.13,3.18,"R,err,s ",substitution,deletion,0.4379657804965973,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0428.wav,The history of our westward faring race is written in it
val,val,ABA,Arabic,arctic_b0428,3.33,3.410143,"sil,G,a",addition,substitution,0.7438179850578308,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0428.wav,The history of our westward faring race is written in it
val,val,ABA,Arabic,arctic_b0428,4.06,4.17,"R,R*,s ",substitution,addition,0.7145654559135437,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0428.wav,The history of our westward faring race is written in it
val,val,ABA,Arabic,arctic_b0428,4.79,4.82,"IH1,EH,s",substitution,deletion,0.7903013825416565,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ABA/wav/arctic_b0428.wav,The history of our westward faring race is written in it
val,val,ASI,Hindi,arctic_b0315,0.71,0.79,"R,sil,d",deletion,addition,0.5895403027534485,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,val,ASI,Hindi,arctic_b0315,1.38,1.44,"ER0,AH0,s",substitution,addition,0.6819334030151367,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,val,ASI,Hindi,arctic_b0315,2.24,2.27,"DH,D,s",substitution,deletion,0.5947949290275574,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,val,ASI,Hindi,arctic_b0317,0.34,0.39,"D,D*,s",substitution,addition,0.4273739159107208,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0317.wav,He did not believe in the burning of daylight for such a luxury
val,val,ASI,Hindi,arctic_b0371,0.81,0.84,"T,T*,s",substitution,deletion,0.6681903004646301,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0371.wav,Yield yourself to the waters that are ripping and tearing at you
val,val,ASI,Hindi,arctic_b0371,1.44,1.49,"DH,Z,s",substitution,addition,0.6743640303611755,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0371.wav,Yield yourself to the waters that are ripping and tearing at you
val,val,ASI,Hindi,arctic_b0411,1.42,1.46,"T,T*,s",substitution,deletion,0.5472748279571533,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/ASI/wav/arctic_b0411.wav,He gave no reason but his motive was obvious enough
val,val,BWC,Chinese,arctic_b0323,3.076312,3.11,"sil,R,a",addition,deletion,0.49808913469314575,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,val,BWC,Chinese,arctic_b0323,4.42,4.47,"L,EH0,s",substitution,addition,0.5381772518157959,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,val,BWC,Chinese,arctic_b0358,0.25,0.32,"EH1,AE1,s",substitution,deletion,0.41213032603263855,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,val,BWC,Chinese,arctic_b0358,1.06,1.11,"T,sil,d",deletion,addition,0.48975226283073425,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,val,BWC,Chinese,arctic_b0358,5.05,5.13,"L,W,s",substitution,deletion,0.5322926640510559,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,val,BWC,Chinese,arctic_b0358,5.31,5.35,"IH1,IY1,s",substitution,addition,0.48995867371559143,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,val,BWC,Chinese,arctic_b0366,0.29,0.34,"ER0,AH0,s",substitution,deletion,0.42669862508773804,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0366.wav,I forgot how easily I had taught myself from the printed page
val,val,BWC,Chinese,arctic_b0366,2.7,2.79,"L,W,s",substitution,deletion,0.5564664602279663,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0366.wav,I forgot how easily I had taught myself from the printed page
val,val,BWC,Chinese,arctic_b0385,1.42,1.48,"DH,D,s",substitution,addition,0.5163975358009338,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0385.wav,Last night he showed all the symptoms of coming down with pneumonia
val,val,BWC,Chinese,arctic_b0385,2.189419,2.37,"sil,AH0,a",addition,substitution,0.5537781119346619,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0385.wav,Last night he showed all the symptoms of coming down with pneumonia
val,val,BWC,Chinese,arctic_b0385,4.41,4.433584,"sil,Y,a",addition,deletion,0.6337090134620667,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0385.wav,Last night he showed all the symptoms of coming down with pneumonia
val,val,BWC,Chinese,arctic_b0400,1.02,1.07,"DH,D,s",substitution,addition,0.4499080181121826,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0400.wav,How could I answer the question on the spur of the moment
val,val,BWC,Chinese,arctic_b0400,1.84,1.89,"DH,sil,d",deletion,addition,0.5890138745307922,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0400.wav,How could I answer the question on the spur of the moment
val,val,BWC,Chinese,arctic_b0402,2.764894,2.899518,"sil,IH0,a",addition,substitution,0.6153257489204407,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0402.wav,An altruistic act is an act performed for the welfare of others
val,val,BWC,Chinese,arctic_b0402,2.899518,2.981088,"sil,N,a",addition,deletion,0.5111405253410339,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/BWC/wav/arctic_b0402.wav,An altruistic act is an act performed for the welfare of others
