context_mode,held_out_speaker,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,0.23,0.29,"DH,D,s ",substitution,addition,0.4404793679714203,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,1.01,1.06,"TH,T,s",substitution,deletion,0.5432018041610718,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,5.14,5.25,"Z,S,s ",substitution,addition,0.3896288573741913,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,0.23,0.26,"D,D*,s",substitution,deletion,0.6056607365608215,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,2.22,2.26,"AA1,AH0,s",substitution,deletion,0.46124523878097534,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0007,0.49,0.64,"L,N,s",substitution,deletion,0.6247391700744629,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0007.wav,And you always want to see it in the superlative degree
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,0.43,0.54,"D,T,s ",substitution,deletion,0.3819425702095032,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,2.41,2.47,"T,sil,d ",deletion,substitution,0.49407321214675903,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.59,0.65,"ER0,AH0,s ",substitution,addition,0.4537977874279022,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.92,0.99,"IH0,IY0,s",substitution,addition,0.5038593411445618,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
