split,speaker_id,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
val,HQTV,arctic_b0315,0.25,0.28,"DH,D,s",substitution,deletion,0.6344624757766724,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,0.82,0.9,"R,sil,d",deletion,addition,0.39944154024124146,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,2.52,2.55,"DH,D,s",substitution,deletion,0.6427336931228638,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,2.79,2.89,"L,W,s",substitution,addition,0.4169158637523651,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0320,3.99,4.02,"sil,D,a",addition,deletion,0.6529374122619629,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0320,4.75,4.81,"T,sil,d",deletion,substitution,0.687545895576477,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0323,4.2,4.28,"R,sil,d",deletion,substitution,0.4955248236656189,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.13,5.2426,"sil,HH,a",addition,substitution,0.7138794660568237,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.78,5.944079,"S,sil,d",deletion,substitution,0.8020864725112915,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0342,0.85,0.9,"M,sil,d",deletion,addition,0.4401454031467438,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
