context_mode,held_out_speaker,split,speaker_id,l1,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,confidence,audio_path,target_text
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,0.18,0.23,"R,sil,d ",deletion,substitution,0.46285611391067505,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,0.23,0.29,"DH,D,s ",substitution,deletion,0.4235173463821411,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,1.01,1.06,"TH,T,s",substitution,deletion,0.5571750998497009,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,2.816342,2.86,"sil,AH0,a",addition,deletion,0.42236393690109253,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0003,5.14,5.25,"Z,S,s ",substitution,addition,0.47034385800361633,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,For the twentieth time that evening the two men shook hands
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,0.23,0.26,"D,D*,s",substitution,deletion,0.7258173227310181,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0006,2.22,2.26,"AA1,AH0,s",substitution,deletion,0.6059755682945251,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0006.wav,God bless 'em I hope I'll go on seeing them forever
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,0.43,0.54,"D,T,s ",substitution,deletion,0.469705194234848,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,1.61,1.71,"ER0,AH0,s ",substitution,deletion,0.362676739692688,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0008,2.41,2.47,"T,sil,d ",deletion,substitution,0.6107531189918518,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0008.wav,Gad your letter came just in time
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.59,0.65,"ER0,AH0,s ",substitution,addition,0.6655473113059998,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0011,0.92,0.99,"IH0,IY0,s",substitution,addition,0.5143386125564575,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0011.wav,If I ever needed a fighter in my life I need one now
context_0_10,HQTV,test,HQTV,Vietnamese,arctic_a0013,4.19,4.27,"V,P,s",substitution,deletion,0.7678050398826599,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0013.wav,He was a head shorter than his companion of almost delicate physique
