speaker_id,l1,error_type,rows
ABA,Arabic,addition,78
ABA,Arabic,deletion,31
ABA,Arabic,substitution,402
ASI,Hindi,addition,26
ASI,Hindi,deletion,120
ASI,Hindi,substitution,761
BWC,Chinese,addition,44
BWC,Chinese,deletion,206
BWC,Chinese,substitution,696
EBVS,Spanish,addition,93
EBVS,Spanish,deletion,194
EBVS,Spanish,substitution,876
ERMS,Spanish,addition,43
ERMS,Spanish,deletion,56
ERMS,Spanish,substitution,855
HJK,Korean,addition,7
HJK,Korean,deletion,4
HJK,Korean,substitution,330
HKK,Korean,addition,44
HKK,Korean,deletion,103
HKK,Korean,substitution,318
HQTV,Vietnamese,addition,72
HQTV,Vietnamese,deletion,477
HQTV,Vietnamese,substitution,809
LXC,Chinese,addition,58
LXC,Chinese,deletion,216
LXC,Chinese,substitution,709
MBMPS,Spanish,addition,26
MBMPS,Spanish,deletion,63
MBMPS,Spanish,substitution,530
NCC,Chinese,addition,31
NCC,Chinese,deletion,55
NCC,Chinese,substitution,536
NJS,Spanish,addition,38
NJS,Spanish,deletion,80
NJS,Spanish,substitution,561
PNV,Vietnamese,addition,16
PNV,Vietnamese,deletion,246
PNV,Vietnamese,substitution,631
RRBI,Hindi,addition,47
RRBI,Hindi,deletion,65
RRBI,Hindi,substitution,451
SKA,Arabic,addition,116
SKA,Arabic,deletion,59
SKA,Arabic,substitution,571
SVBI,Hindi,addition,28
SVBI,Hindi,deletion,89
SVBI,Hindi,substitution,717
THV,Vietnamese,addition,67
THV,Vietnamese,deletion,406
THV,Vietnamese,substitution,926
TLV,Vietnamese,addition,43
TLV,Vietnamese,deletion,437
TLV,Vietnamese,substitution,789
TNI,Hindi,addition,8
TNI,Hindi,deletion,68
TNI,Hindi,substitution,491
TXHC,Chinese,addition,73
TXHC,Chinese,deletion,128
TXHC,Chinese,substitution,492
YBAA,Arabic,addition,30
YBAA,Arabic,deletion,31
YBAA,Arabic,substitution,331
YDCK,Korean,addition,24
YDCK,Korean,deletion,58
YDCK,Korean,substitution,450
YKWK,Korean,addition,30
YKWK,Korean,deletion,129
YKWK,Korean,substitution,462
ZHAA,Arabic,addition,50
ZHAA,Arabic,deletion,99
ZHAA,Arabic,substitution,404
