dataset,speaker_id,l1,gender,split,audio_path,utterance_id,target_text,tier_name,label,error_type,start_time,end_time,original_duration,context_start_time,context_end_time,context_duration
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"R,sil,d ",deletion,0.18,0.23,0.05,0.0,0.455,0.455
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"DH,D,s ",substitution,0.23,0.29,0.06,0.0,0.54,0.54
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"T,D,s",substitution,0.75,0.84,0.09,0.5,1.09,0.59
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"TH,T,s",substitution,1.01,1.06,0.05,0.76,1.31,0.55
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"AY1,AA*,s",substitution,1.89,2.05,0.16,1.64,2.3,0.66
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"DH,D,s ",substitution,2.27,2.39,0.12,2.02,2.64,0.62
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"sil,AH0,a",addition,2.816342,2.86,0.043658,2.566342,3.11,0.543658
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"DH,D,s ",substitution,3.28,3.33,0.05,3.03,3.58,0.55
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"UH1,AO1,s",substitution,4.32,4.41,0.09,4.07,4.66,0.59
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0003.wav,arctic_a0003,For the twentieth time that evening the two men shook hands,phones,"AE1,EH1,s",substitution,4.89,4.99,0.1,4.64,5.24,0.6
