split,speaker_id,utterance_id,start_time,end_time,label,actual_error_type,predicted_error_type,audio_path,target_text
val,HQTV,arctic_b0315,0.250000,0.280000,"DH,D,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,0.820000,0.900000,"R,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,2.520000,2.550000,"DH,D,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,0.250000,0.280000,"ð,d,s ",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,0.820000,0.900000,"ɹ,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0315,2.520000,2.550000,"ð,d,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0315.wav,And this was their sole conversation throughout the meal
val,HQTV,arctic_b0320,3.990000,4.020000,"sil,D,a",addition,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0320,4.750000,4.810000,"T,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0320,3.990000,4.020000,"sil,d,a",addition,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0320,4.750000,4.810000,"t,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0320.wav,The regret in his voice was provocative of a second burst of laughter
val,HQTV,arctic_b0323,4.200000,4.280000,"R,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.130000,5.242600,"sil,HH,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.780000,5.944079,"S,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,4.200000,4.280000,"ɹ,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.130000,5.242600,"sil,h,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0323,5.780000,5.946186,"s,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0323.wav,Crickets began to chirp and more geese and ducks flew overhead
val,HQTV,arctic_b0342,0.850000,0.900000,"M,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.330000,2.360000,"Y,IH,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.596650,2.640000,"sil,R,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,0.850000,0.900000,"m,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.330000,2.360000,"j,ɪ,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0342,2.596650,2.640000,"sil,ɹ,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0342.wav,Each improvement makes the value of everything else pump up
val,HQTV,arctic_b0355,0.270000,0.376895,"sil,S,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,1.180000,1.230000,"IH0,IY,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,1.665086,1.770007,"sil,S,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,2.490000,2.520000,"DH,D,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,4.070000,4.120000,"R,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,0.270000,0.376895,"sil,s,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,1.180000,1.230000,"ɪ,i,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,1.665086,1.770007,"sil,s,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,2.490000,2.520000,"ð,d,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0355,4.070000,4.120000,"ɹ,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0355.wav,There was proper division of labor in the work they individually performed
val,HQTV,arctic_b0358,4.320000,4.360000,"DH,D,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.500000,4.580000,"sil,S,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.580000,4.658160,"sil,W,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.658160,4.727298,"sil,AH,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.727298,4.768829,"DH,D,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.930000,5.020000,"L,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.320000,4.360000,"ð,d,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.500000,4.580000,"sil,s,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.580000,4.658160,"sil,w,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.658160,4.727298,"sil,ə,a",addition,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.727298,4.768829,"ð,d,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0358,4.930000,5.020000,"l,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0358.wav,The temperature dropped to fifty below zero and remained there the whole trip
val,HQTV,arctic_b0380,0.820000,0.860000,"L,W,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0380,3.350000,3.430000,"D,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0380,0.820000,0.860000,"l,w,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0380,3.350000,3.430000,"d,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0380.wav,He had peeled off his shirt and was wildly waving it
val,HQTV,arctic_b0386,0.490000,0.570000,"AH0,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,2.800000,2.840000,"R,IH,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,0.490000,0.570000,"ə,sil,d",deletion,substitution,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
val,HQTV,arctic_b0386,2.800000,2.840000,"ɹ,ɪ,s",substitution,deletion,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0386.wav,My idea was that he would have more influence over the natives
