seed,held_out_speaker,context_mode,error_type,class_id,support,predicted_count,correct,precision,recall,f1
42,HQTV,context_0_10,addition,0,72,194,23,0.11855670103092783,0.3194444444444444,0.17293233082706766
42,HQTV,context_0_10,deletion,1,477,498,351,0.7048192771084337,0.7358490566037735,0.72
42,HQTV,context_0_10,substitution,2,809,666,556,0.8348348348348348,0.6872682323856613,0.7538983050847458
42,PNV,context_0_10,addition,0,16,116,6,0.05172413793103448,0.375,0.09090909090909091
42,PNV,context_0_10,deletion,1,246,284,170,0.5985915492957746,0.6910569105691057,0.6415094339622641
42,PNV,context_0_10,substitution,2,631,493,430,0.8722109533468559,0.6814580031695721,0.7651245551601423
42,THV,context_0_10,addition,0,67,266,21,0.07894736842105263,0.31343283582089554,0.12612612612612611
42,THV,context_0_10,deletion,1,406,428,283,0.6612149532710281,0.6970443349753694,0.6786570743405276
42,THV,context_0_10,substitution,2,926,705,623,0.8836879432624114,0.6727861771058316,0.7639484978540773
42,TLV,context_0_10,addition,0,43,271,14,0.05166051660516605,0.32558139534883723,0.08917197452229299
42,TLV,context_0_10,deletion,1,437,479,312,0.651356993736952,0.7139588100686499,0.6812227074235808
42,TLV,context_0_10,substitution,2,789,519,446,0.859344894026975,0.5652724968314322,0.6819571865443425
123,HQTV,context_0_10,addition,0,72,146,24,0.1643835616438356,0.3333333333333333,0.22018348623853212
123,HQTV,context_0_10,deletion,1,477,544,374,0.6875,0.7840670859538784,0.732615083251714
123,HQTV,context_0_10,substitution,2,809,668,574,0.8592814371257484,0.7095179233621756,0.7772511848341233
123,PNV,context_0_10,addition,0,16,173,6,0.03468208092485549,0.375,0.06349206349206349
123,PNV,context_0_10,deletion,1,246,256,151,0.58984375,0.6138211382113821,0.601593625498008
123,PNV,context_0_10,substitution,2,631,464,398,0.8577586206896551,0.6307448494453248,0.7269406392694064
123,THV,context_0_10,addition,0,67,193,16,0.08290155440414508,0.23880597014925373,0.12307692307692308
123,THV,context_0_10,deletion,1,406,503,316,0.6282306163021869,0.7783251231527094,0.6952695269526953
123,THV,context_0_10,substitution,2,926,703,631,0.8975817923186344,0.6814254859611231,0.7747084100675261
123,TLV,context_0_10,addition,0,43,246,17,0.06910569105691057,0.3953488372093023,0.11764705882352941
123,TLV,context_0_10,deletion,1,437,496,325,0.655241935483871,0.7437070938215103,0.6966773847802786
123,TLV,context_0_10,substitution,2,789,527,462,0.8766603415559773,0.5855513307984791,0.7021276595744681
2026,HQTV,context_0_10,addition,0,72,192,27,0.140625,0.375,0.20454545454545456
2026,HQTV,context_0_10,deletion,1,477,503,362,0.7196819085487077,0.7589098532494759,0.7387755102040816
2026,HQTV,context_0_10,substitution,2,809,663,563,0.8491704374057315,0.695920889987639,0.7649456521739131
2026,PNV,context_0_10,addition,0,16,139,6,0.04316546762589928,0.375,0.07741935483870968
2026,PNV,context_0_10,deletion,1,246,335,186,0.5552238805970149,0.7560975609756098,0.6402753872633391
2026,PNV,context_0_10,substitution,2,631,419,375,0.8949880668257757,0.5942947702060222,0.7142857142857143
2026,THV,context_0_10,addition,0,67,250,17,0.068,0.2537313432835821,0.10725552050473186
2026,THV,context_0_10,deletion,1,406,433,284,0.6558891454965358,0.6995073891625616,0.6769964243146603
2026,THV,context_0_10,substitution,2,926,716,640,0.8938547486033519,0.6911447084233261,0.7795371498172959
2026,TLV,context_0_10,addition,0,43,234,15,0.0641025641025641,0.3488372093023256,0.10830324909747292
2026,TLV,context_0_10,deletion,1,437,478,311,0.6506276150627615,0.7116704805491991,0.6797814207650273
2026,TLV,context_0_10,substitution,2,789,557,486,0.8725314183123878,0.6159695817490495,0.7221396731054978
