dataset,speaker_id,l1,gender,split,audio_path,utterance_id,start_time,end_time,label,error_type,target_text,duration,audio_exists
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0048.wav,arctic_a0048,1.14,1.23,"NG,N,s",substitution,He looked at the handkerchief more closely,0.09000000000000008,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0048.wav,arctic_a0048,1.17,1.27,"əɹ,ə,s ",substitution,He looked at the handkerchief more closely,0.10000000000000009,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0422.wav,arctic_b0422,0.03,0.09,"ð,d,s",substitution,This was when the explosion occurred,0.06,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_a0434.wav,arctic_a0434,2.26,2.4,"AO1,OY,s",substitution,A half a case of tobacco was worth three pounds,0.14000000000000012,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0085.wav,arctic_a0085,2.6,2.71,"əɹ,ə,s ",substitution,A trickle of fresh blood ran over his face,0.10999999999999988,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0120.wav,arctic_a0120,1.37,1.41,"l,w,s",substitution,My right foot feels like that of a Chinese debutante,0.039999999999999813,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_a0139.wav,arctic_a0139,1.17,1.26,"DH,D,s",substitution,He told himself that as he washed himself and groomed his disheveled clothes,0.09000000000000008,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0027.wav,arctic_a0027,1.11,1.18,"ə,i,s",substitution,To my surprise he began to show actual enthusiasm in my favor,0.06999999999999984,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_b0106.wav,arctic_b0106,2.45,2.55," ɛ,ɑ,s",substitution,For a full minute the two men stared into each other's face,0.09999999999999964,True
l2_arctic,THV,Vietnamese,F,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_b0422.wav,arctic_b0422,0.82,0.85,"i,ɪ,s",substitution,This was when the explosion occurred,0.030000000000000027,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_a0126.wav,arctic_a0126,2.87,2.92,"v,p,s",substitution,Each day she became a more vital part of him,0.04999999999999982,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0097.wav,arctic_a0097,1.87,1.93,"l,w,s",substitution,Then you can arrange yourself comfortably among these robes in the bow,0.05999999999999983,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0003.wav,arctic_a0003,2.007864,2.07,"sil,ɪ,s",substitution,For the twentieth time that evening the two men shook hands,0.06213599999999975,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0093.wav,arctic_a0093,0.54,0.6,"L,N,s ",substitution,For a full minute he crouched and listened,0.05999999999999994,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0109.wav,arctic_a0109,1.55,1.63," ŋ,n,s",substitution,Do you know that you are shaking my confidence in you,0.07999999999999985,True
l2_arctic,THV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/THV/wav/arctic_a0029.wav,arctic_a0029,0.35,0.42,"AO1,AO*,s",substitution,Their forces were already moving into the north country,0.07,True
l2_arctic,HQTV,Vietnamese,M,val,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0415.wav,arctic_b0415,0.05,0.13,"DH,D,s",substitution,There was nothing for us but the wide raw ocean,0.08,True
l2_arctic,PNV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/PNV/wav/arctic_a0006.wav,arctic_a0006,1.82,1.86,"l,w,s",substitution,God bless 'em I hope I'll go on seeing them forever,0.040000000000000036,True
l2_arctic,HQTV,Vietnamese,M,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/HQTV/wav/arctic_b0074.wav,arctic_b0074,2.28,2.34,"DH,D,s",substitution,Yet behind them there was another and more powerful motive,0.06000000000000005,True
l2_arctic,TLV,Vietnamese,F,train,ai-training/datasets/l2-arctic/raw/l2arctic_release_v5.0/TLV/wav/arctic_a0112.wav,arctic_a0112,1.17,1.23,"DH,D,s",substitution,He was wounded in the arm,0.06000000000000005,True
